seed_dir,run_dir,method,n_agents,min_at_lever,weights,ablation,n_rows,expected,status,nan_inf,n_agents_found,final_mean_env,final_reward_env_stdev,final_fairness_var,final_fairness_sigma,final_energy_var,final_mean_winrate,converged,suspicious_reason,path
nano_er4,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,21.133333333333333,23.309130304572832,543.3155555555555,23.309130304572832,1780.7138666666651,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_lio_3_1/log.csv
nano_er5,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,55.0,46.703604429065926,2181.2266666666665,46.703604429065926,2009.1288186666661,0.0,False,unstable(29%),/home/yifan/greedy_agent/lio/results/nano_er5/er_lio_3_1/log.csv
nano_er6,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,51.4,43.70842786770839,1910.426666666667,43.70842786770839,2218.9272719999994,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er6/er_lio_3_1/log.csv
nano_er7,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,62.4,51.48384859998975,2650.5866666666666,51.48384859998975,5003.581955555551,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_lio_3_1/log.csv
nano_er8,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,57.46666666666667,47.73407820647867,2278.5422222222223,47.73407820647867,2259.2438515555555,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_lio_3_1/log.csv
nano_er9,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,20.333333333333332,26.49092087657371,701.7688888888888,26.49092087657371,1366.5323555555551,0.0,False,unstable(57%),/home/yifan/greedy_agent/lio/results/nano_er9/er_lio_3_1/log.csv
nano_er1,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.25,54.550045829494955,2975.7075,54.550045829494955,3991.004721000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er1/er_lio_4_2/log.csv
nano_er10,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.89999999999999,54.70164531346383,2992.2699999999995,54.70164531346383,3464.516946,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er10/er_lio_4_2/log.csv
nano_er2,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.89999999999999,54.70164531346383,2992.2699999999995,54.70164531346383,3424.0521040000003,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_lio_4_2/log.csv
nano_er3,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.9,53.9,2905.21,53.9,2990.9477210000014,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_lio_4_2/log.csv
nano_er4,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.3,54.9,3014.01,54.9,3684.8036010000005,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_lio_4_2/log.csv
